Time,Count,OK,NG,Rate,LineNumber
Wed Aug 21 16:25:20 2019,100,69,31,69.0%,0
Wed Aug 21 16:26:10 2019,100,65,35,65.0%,0
Wed Aug 21 16:27:00 2019,100,77,23,77.0%,0
Wed Aug 21 16:27:50 2019,100,78,22,78.0%,0
Wed Aug 21 16:28:39 2019,100,81,19,81.0%,0
Wed Aug 21 16:31:48 2019,100,62,38,62.0%,1
Wed Aug 21 16:32:40 2019,100,72,28,72.0%,1
Wed Aug 21 16:33:33 2019,100,66,34,66.0%,1
Wed Aug 21 16:34:26 2019,100,73,27,73.0%,1
Wed Aug 21 16:35:17 2019,100,65,35,65.0%,1
Wed Aug 21 16:36:52 2019,100,68,32,68.0%,2
Wed Aug 21 16:37:41 2019,100,55,45,55.00000000000001%,2
Wed Aug 21 16:38:29 2019,100,63,37,63.0%,2
Wed Aug 21 16:39:18 2019,100,62,38,62.0%,2
Wed Aug 21 16:40:08 2019,100,72,28,72.0%,2
Wed Aug 21 16:41:23 2019,100,60,40,60.0%,3
Wed Aug 21 16:42:12 2019,100,70,30,70.0%,3
Wed Aug 21 16:43:01 2019,100,62,38,62.0%,3
Wed Aug 21 16:43:50 2019,100,58,42,57.99999999999999%,3
Wed Aug 21 16:44:39 2019,100,55,45,55.00000000000001%,3
Wed Aug 21 16:51:19 2019,100,54,46,54.0%,4
Wed Aug 21 16:52:12 2019,100,51,49,51.0%,4
Wed Aug 21 16:53:04 2019,100,60,40,60.0%,4
Wed Aug 21 16:53:56 2019,100,55,45,55.00000000000001%,4
Wed Aug 21 16:54:48 2019,100,49,51,49.0%,4
Wed Aug 21 16:58:07 2019,100,49,51,49.0%,5
Wed Aug 21 16:58:57 2019,100,54,46,54.0%,5
Wed Aug 21 16:59:47 2019,100,54,46,54.0%,5
Wed Aug 21 17:00:37 2019,100,49,51,49.0%,5
Wed Aug 21 17:01:26 2019,100,49,51,49.0%,5
Wed Aug 21 17:03:55 2019,100,47,53,47.0%,6
Wed Aug 21 17:04:45 2019,100,47,53,47.0%,6
Wed Aug 21 17:05:35 2019,100,52,48,52.0%,6
Wed Aug 21 17:06:26 2019,100,38,62,38.0%,6
Wed Aug 21 17:07:15 2019,100,48,52,48.0%,6
Wed Aug 21 17:25:52 2019,100,43,57,43.0%,7
Wed Aug 21 17:26:45 2019,100,44,56,44.0%,7
Wed Aug 21 17:27:38 2019,100,33,67,33.0%,7
Wed Aug 21 17:28:33 2019,100,36,64,36.0%,7
Wed Aug 21 17:29:28 2019,100,38,62,38.0%,7
Wed Aug 21 17:31:19 2019,100,35,65,35.0%,8
Wed Aug 21 17:32:08 2019,100,37,63,37.0%,8
Wed Aug 21 17:32:58 2019,100,31,69,31.0%,8
Wed Aug 21 17:33:46 2019,100,38,62,38.0%,8
Wed Aug 21 17:34:35 2019,100,34,66,34.0%,8
Wed Aug 21 17:36:12 2019,100,33,67,33.0%,9
Wed Aug 21 17:37:05 2019,100,25,75,25.0%,9
Wed Aug 21 17:37:57 2019,100,37,63,37.0%,9
Wed Aug 21 17:38:44 2019,100,32,68,32.0%,9
Wed Aug 21 17:39:29 2019,100,36,64,36.0%,9
Thu Aug 22 09:27:56 2019,100,35,65,35.0%,9
Thu Aug 22 09:28:43 2019,100,26,74,26.0%,9
Thu Aug 22 09:29:27 2019,100,33,67,33.0%,9
Thu Aug 22 09:30:11 2019,100,43,57,43.0%,9
Thu Aug 22 09:30:56 2019,100,36,64,36.0%,9
